  0.88   0.01
  1.80   0.02
  2.63   0.13
  3.55   0.01
  4.92   0.03
  5.62   0.04
  6.50   0.02
  7.55   0.01
  8.45   0.01
  9.58   0.04
  10.67   0.07
  12.55   0.02
  13.58   0.02
  14.50   0.03
  15.87   0.05
  16.72   0.05
  17.53   0.08
  18.67   0.08
  19.63   0.04
  20.45   0.08
  21.32   0.02
  22.60   0.07
  23.45   0.02
  24.47   0.07
  25.42   0.04
  26.43   0.05
  27.45   0.04
  28.43   0.02
  29.33   0.03
  30.40   0.08
  31.25   0.02
  32.33   0.06
  33.30   0.02
  34.53   0.05
