  0.92   0.42
  1.50   0.44
  2.77   0.48
  4.73   0.59
  5.88   0.63
  6.82   0.74
  7.57   0.81
  8.50   0.79
  9.55   0.69
  10.53   0.53
  11.47   0.65
  12.43   0.59
  13.48   0.65
  14.42   0.67
  15.78   0.72
  16.47   0.74
  17.52   0.70
  18.87   0.77
  19.80   0.71
  20.92   0.63
  21.73   0.56
  22.73   0.51
  23.78   0.49
  24.48   0.66
  25.38   0.63
  26.53   0.64
  27.43   0.67
  28.52   0.82
  29.30   0.67
  31.13   0.82
  31.65   0.75
  32.22   0.80
  33.20   0.82
  34.32   0.83
