  0.80   0.37
  1.58   0.26
  2.83   0.42
  4.67   0.67
  5.82   0.33
  6.77   0.54
  7.55   0.53
  8.38   0.77
  9.50   0.43
  10.47   0.37
  11.42   0.51
  12.38   0.72
  13.43   0.54
  14.38   0.43
  15.73   0.47
  16.42   0.77
  17.47   0.40
  18.82   0.35
  19.73   0.28
  20.87   0.42
  21.68   0.31
  22.67   0.20
  23.70   0.18
  24.43   0.54
  25.35   0.52
  26.48   0.53
  27.42   0.52
  28.38   0.33
  29.27   0.60
  31.12   0.52
  31.62   0.67
  32.18   0.59
  33.17   0.53
  34.27   0.44
