  0.25   0.35
  1.92   0.24
  3.20   0.32
  4.30   0.49
  5.45   0.45
  6.45   0.57
  7.33   0.54
  8.13   0.59
  9.23   0.69
  10.22   0.44
  11.22   0.43
  12.15   0.50
  13.15   0.49
  14.13   0.52
  15.52   0.58
  16.17   0.50
  17.22   0.46
  18.50   0.40
  19.43   0.32
  20.55   0.35
  21.38   0.33
  22.33   0.34
  23.37   0.31
  24.23   0.45
  25.15   0.51
  26.28   0.47
  27.22   0.45
  28.22   0.48
  29.07   0.53
  30.90   0.60
  31.45   0.60
  32.02   0.59
  32.98   0.58
  34.03   0.58
