  0.53   0.03
  1.55   0.05
  2.42   0.07
  3.33   0.07
  4.55   0.12
  5.40   0.10
  6.27   0.08
  7.33   0.17
  8.18   0.22
  9.32   0.30
  10.43   0.28
  11.38   0.15
  12.30   0.20
  13.30   0.16
  14.25   0.16
  15.68   0.21
  16.52   0.09
  17.32   0.19
  18.37   0.23
  19.42   0.17
  20.23   0.17
  21.08   0.21
  22.40   0.17
  23.23   0.24
  24.25   0.17
  25.20   0.10
  26.23   0.14
  27.25   0.21
  28.22   0.21
  29.10   0.20
  30.17   0.28
  31.08   0.21
  32.07   0.21
  33.12   0.25
  34.27   0.40
