  0.37   0.02
  2.32   0.02
  3.20   0.01
  4.47   0.02
  5.25   0.02
  6.15   0.02
  7.20   0.02
  8.05   0.02
  9.17   0.08
  10.30   0.19
  11.25   0.06
  12.13   0.05
  13.17   0.06
  14.13   0.03
  15.57   0.03
  16.40   0.07
  17.18   0.05
  18.25   0.03
  19.30   0.04
  20.10   0.04
  20.95   0.05
  22.28   0.03
  23.12   0.03
  24.13   0.05
  25.08   0.04
  26.12   0.03
  27.13   0.02
  28.10   0.07
  29.00   0.02
  30.05   0.08
  30.97   0.10
  32.05   0.03
  33.02   0.06
  34.10   0.16
