  0.67   0.02
  1.67   0.02
  2.52   0.04
  3.42   0.07
  4.75   0.10
  5.50   0.11
  6.37   0.11
  7.43   0.17
  8.30   0.24
  9.43   0.29
  10.53   0.41
  11.47   0.25
  12.40   0.18
  13.40   0.17
  14.35   0.11
  15.78   0.23
  16.60   0.21
  17.40   0.21
  18.48   0.16
  19.50   0.13
  20.32   0.14
  21.17   0.13
  22.47   0.14
  23.33   0.16
  24.35   0.13
  25.28   0.12
  26.30   0.23
  27.32   0.20
  28.30   0.22
  29.20   0.16
  30.25   0.17
  31.15   0.19
  32.23   0.23
  33.18   0.29
  34.37   0.36
