  0.62   0.07
  1.62   0.07
  2.47   0.14
  3.37   0.15
  4.70   0.21
  5.45   0.23
  6.32   0.31
  7.38   0.34
  8.25   0.46
  9.38   0.45
  10.48   0.27
  11.42   0.30
  12.35   0.23
  13.35   0.25
  14.30   0.35
  15.73   0.35
  16.55   0.32
  17.35   0.29
  18.43   0.29
  19.47   0.28
  20.28   0.25
  21.13   0.33
  22.43   0.24
  23.28   0.21
  24.30   0.19
  25.25   0.28
  26.27   0.35
  27.28   0.33
  28.27   0.32
  29.15   0.31
  30.20   0.33
  31.12   0.30
  32.18   0.44
  33.15   0.46
  34.32   0.50
