  1.00   0.55
  1.38   0.75
  2.42   0.91
  3.93   0.82
  5.05   0.92
  6.17   0.92
  7.20   0.90
  7.88   0.92
  8.92   0.58
  10.00   0.72
  11.03   0.62
  11.97   0.93
  13.00   0.79
  13.93   0.70
  15.32   0.71
  16.02   0.76
  17.07   0.68
  18.20   0.57
  19.17   0.56
  20.12   0.49
  21.15   0.43
  22.05   0.50
  23.08   0.76
  24.07   0.61
  24.98   0.63
  26.05   0.53
  27.03   0.54
  28.08   0.61
  28.90   0.56
  30.72   0.77
  31.30   0.74
  31.88   0.71
  32.85   0.64
  33.82   0.65
