  0.03   0.04
  1.28   0.02
  2.18   0.02
  4.17   0.01
  5.12   0.10
  6.02   0.35
  7.08   0.34
  7.93   0.37
  9.00   0.47
  10.12   0.43
  11.13   0.36
  12.02   0.28
  13.03   0.30
  14.00   0.37
  15.45   0.36
  16.28   0.45
  17.05   0.42
  18.05   0.60
  19.17   0.44
  19.97   0.40
  20.82   0.34
  22.15   0.32
  22.98   0.29
  24.02   0.24
  24.97   0.30
  26.00   0.43
  27.02   0.36
  28.00   0.33
  28.88   0.40
  29.95   0.43
  30.85   0.63
  31.95   0.43
  32.88   0.53
  33.88   0.56
