  0.27   0.09
  1.37   0.02
  2.25   0.07
  3.17   0.08
  4.42   0.08
  5.20   0.11
  6.10   0.23
  7.17   0.26
  8.02   0.40
  9.10   0.13
  10.22   0.41
  11.22   0.28
  12.10   0.33
  13.12   0.26
  14.08   0.24
  15.52   0.29
  16.35   0.27
  17.13   0.14
  18.20   0.30
  19.25   0.39
  20.05   0.40
  20.90   0.41
  22.22   0.30
  23.05   0.27
  24.10   0.32
  25.03   0.18
  26.07   0.23
  27.08   0.41
  28.07   0.36
  28.95   0.38
  30.02   0.37
  30.92   0.38
  32.00   0.37
  32.98   0.40
  34.03   0.56
