                                 OH00 - CL                              103



                           OBS    STIME     CL



  1.00   -51
  2.00   120
  3.00   221
  4.00   347
  5.00   552
  6.00   643
  7.00   746
  8.00   847
  9.00   1053
  10.00   1249
  11.00   1350
  12.00   1445
  13.00   1657
  14.00   -654
  15.00   -544
                                 OH00 - FL                              104



                           OBS    STIME      FL



  1.00   -51
  2.00   120
  3.00   221
  4.00   347
  5.00   552
  6.00   643
  7.00   746
  8.00   847
  9.00   1053
  10.00   1249
  11.00   1350
  12.00   1445
  13.00   1657
  14.00   -654
  15.00   -544
