  0.40   0.02
  1.47   0.01
  2.35   0.01
  3.25   0.02
  4.52   0.05
  5.30   0.10
  6.18   0.02
  8.10   0.01
  9.22   0.04
  10.35   0.04
  11.30   0.01
  12.20   0.02
  13.20   0.05
  14.17   0.03
  15.60   0.09
  16.43   0.10
  17.22   0.05
  18.30   0.05
  19.33   0.05
  20.15   0.07
  21.00   0.02
  22.32   0.06
  23.15   0.03
  24.17   0.04
  25.12   0.08
  26.15   0.03
  27.17   0.02
  28.13   0.05
  29.03   0.02
  30.08   0.08
  30.98   0.05
  32.08   0.05
  33.05   0.04
  34.15   0.09
